Date,Open,High,Low,Close,Volume,SMA_10,EMA_10,RSI,MACD,Returns,Volatility,Pair
2015-02-05,10.545000076293945,10.569999694824219,10.513799667358398,10.545999526977539,0,10.537099933624267,10.549160426425848,39.442800280083134,-0.02599112919003055,-0.001420352571439576,0.002183763144564937,EURMAD
2015-02-06,10.562999725341797,10.586000442504883,10.51099967956543,10.562000274658203,0,10.539400005340577,10.551494944286276,44.89101631912726,-0.023316231336476534,0.0015172338705053967,0.0016077185646097194,EURMAD
2015-02-09,10.513999938964844,10.552000045776367,10.501999855041504,10.513999938964844,0,10.539000034332275,10.544677670591469,34.78158752280598,-0.024783888214939154,-0.004544625491870957,0.002119054309264036,EURMAD
2015-02-10,10.534000396728516,10.54699993133545,10.480199813842773,10.534000396728516,0,10.540500068664551,10.542736348070932,40.767214907933024,-0.02405584625292967,0.0019022691534884562,0.0022067239714989983,EURMAD
2015-02-11,10.529999732971191,10.54800033569336,10.469799995422363,10.519000053405762,0,10.537400054931641,10.53842065813181,37.95375849550375,-0.024407910892451312,-0.001423993047068084,0.002014493942276972,EURMAD
2015-02-12,10.515999794006348,10.557999610900879,10.496000289916992,10.515999794006348,0,10.535200023651123,10.534344137381726,37.397831380769475,-0.024644929113199154,-0.00028522287139287616,0.001992680764140078,EURMAD
2015-02-13,10.562999725341797,10.567999839782715,10.509300231933594,10.53499984741211,0,10.535799980163574,10.534463357387251,43.083504868933126,-0.02303409948041235,0.0018067757491391223,0.0020727487293656457,EURMAD
2015-02-16,10.527999877929688,10.567000389099121,10.503999710083008,10.527999877929688,0,10.535499954223633,10.533288179304058,41.58500967964651,-0.02206795873559564,-0.0006644489400862152,0.002084323907220264,EURMAD
2015-02-17,10.550000190734863,10.567000389099121,10.508999824523926,10.529000282287598,0,10.53439998626709,10.532508561664702,41.89604815165396,-0.020979719813121633,9.502321138965542e-05,0.002062369992701738,EURMAD
2015-02-18,10.562999725341797,10.564000129699707,10.503999710083008,10.543000221252441,0,10.532600021362304,10.5344161361352,46.212311482441656,-0.01877122159674549,0.0013296551039507776,0.0019971889101030693,EURMAD
2015-02-19,10.538999557495117,10.569000244140625,10.484199523925781,10.538999557495117,0,10.531900024414062,10.535249485473365,45.17946927007529,-0.017146140939521715,-0.0003794616023301556,0.0019513088357354033,EURMAD
2015-02-20,10.52299976348877,10.555000305175781,10.503999710083008,10.52299976348877,0,10.527999973297119,10.533022263294347,41.212388063199114,-0.016953868824659324,-0.0015181511223205657,0.0019136129085466469,EURMAD
2015-02-23,10.53600025177002,10.548999786376953,10.477700233459473,10.53600025177002,0,10.530200004577637,10.533563715744469,45.40704568960629,-0.01557294580824653,0.0012354355766839298,0.0012800018996881287,EURMAD
2015-02-24,10.52299976348877,10.54800033569336,10.477499961853027,10.52299976348877,0,10.529099941253662,10.531642997152524,42.16688254494254,-0.015350632586390134,-0.0012339111589396712,0.0012010114552195833,EURMAD
2015-02-25,10.54699993133545,10.54699993133545,10.481800079345703,10.54699993133545,0,10.53189992904663,10.534435167003965,49.35216456950898,-0.013086976272820294,0.0022807344280242337,0.0013145625570708053,EURMAD
2015-02-26,10.515999794006348,10.515999794006348,10.482199668884277,10.515999794006348,0,10.53189992904663,10.531083281004397,42.07981052908949,-0.013637262466245303,-0.002939237463821298,0.0016607028581520859,EURMAD
