Date,Open,High,Low,Close,Volume,SMA_10,EMA_10,RSI,MACD,Returns,Volatility,Pair
2015-02-05,9.558300018310547,9.558300018310547,9.421600341796875,9.444700241088867,0,9.539980125427245,9.493352782104475,54.452978881652136,0.09793352461619875,-0.01181256591833657,0.00773531419172957,USDMAD
2015-02-06,9.432000160217285,9.585000038146973,9.42490005493164,9.532400131225586,0,9.531030178070068,9.500452300126495,59.20297170703136,0.09471940483135377,0.009285619225391839,0.0075732824307789826,USDMAD
2015-02-09,9.289999961853027,9.587699890136719,9.289999961853027,9.526800155639648,0,9.524010181427002,9.505242819310705,58.78142581720164,0.09067507469869263,-0.0005874675327144363,0.007550374884018267,USDMAD
2015-02-10,9.536199569702148,9.586099624633789,9.516599655151367,9.531999588012695,0,9.525660133361816,9.51010768634743,59.072811192762,0.08688787532880227,0.0005457690187788966,0.007038676311808272,USDMAD
2015-02-11,9.54419994354248,9.582900047302246,9.51449966430664,9.549599647521973,0,9.52322006225586,9.51728804292462,60.10101572028802,0.0843345144690435,0.0018464184085162927,0.006760436284388065,USDMAD
2015-02-12,9.550999641418457,9.55270004272461,9.458800315856934,9.476300239562988,0,9.517280101776123,9.509835715040685,54.01474909434997,0.07552569476203175,-0.007675652452928228,0.007080241570656945,USDMAD
2015-02-13,9.500200271606445,9.520000457763672,9.448200225830078,9.520000457763672,0,9.51363010406494,9.511683850081228,56.82211092243903,0.07124956345474409,0.004611527399505322,0.007226588208079978,USDMAD
2015-02-16,9.229499816894531,9.547200202941895,9.22249984741211,9.532999992370605,0,9.513530063629151,9.51555951231566,57.65035527597594,0.06812435720309473,0.0013654972670018584,0.007208183718852152,USDMAD
2015-02-17,9.523099899291992,9.55049991607666,9.444899559020996,9.470100402832031,0,9.514250087738038,9.507294219682272,52.41158821755484,0.059881856761228036,-0.00659808975022691,0.007113718915780374,USDMAD
2015-02-18,9.48289966583252,9.543399810791016,9.45199966430664,9.482999801635742,0,9.506790065765381,9.50287705276472,53.34786650362738,0.05377065481805232,0.0013621184839660572,0.006248426878138397,USDMAD
2015-02-19,9.483699798583984,9.522500038146973,9.443099975585938,9.503800392150879,0,9.512700080871582,9.503044932653113,54.88912632440127,0.050029211458445744,0.002193461030290056,0.004927153410020705,USDMAD
2015-02-20,9.503800392150879,9.581199645996094,9.461899757385254,9.495200157165527,0,9.508980083465577,9.501618609837188,54.09339234825371,0.04584168909572384,-0.0009049258854861852,0.003882201209323662,USDMAD
