Datetime,Pair,Open,High,Low,Close,Volume,SMA_20,SMA_50,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Histogram,RSI,Stoch_K,Stoch_D,ATR,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Pct,Returns,Log_Returns,HL_Range,OC_Range,Price_vs_SMA20,Signal
2015-03-11,EURUSD,1.070939064025879,1.0714553594589231,1.0561401844024658,1.0708701610565186,0,1.1213466763496398,1.1432936024665832,1.1045687338408199,1.1210305925144266,-0.016461858673606722,-0.011751472693510826,-0.004710385980095896,19.714254467046416,17.712323111855234,12.064097695456473,0.014380217831009075,1.1639059441020994,1.1213466763496398,1.0787874085971803,0.07590742212034599,-0.09301437687686898,-0.011511899510185497,-0.011578674390493175,0.015315175056457297,-6.890296936035156e-05,-0.04501419262902644,0.0
2015-03-12,EURUSD,1.0549412965774536,1.0681501626968384,1.0501554012298584,1.0548745393753052,0,1.117530596256256,1.1401938366889954,1.0969234731538176,1.116130144133751,-0.01920667097993345,-0.013242512350795353,-0.0059641586291380964,16.571940454247127,5.293653552994036,13.380691040525628,0.01484325815859182,1.1691035741458211,1.117530596256256,1.065957618366691,0.09229810452140691,-0.1074504463860745,-0.014937031829733827,-0.015049712776884282,0.01799476146697998,-6.67572021484375e-05,-0.05606652479211719,1.0
2015-03-13,EURUSD,1.062597632408142,1.0629997253417969,1.0486302375793457,1.0626314878463743,0,1.1136424779891967,1.1372676396369934,1.0916477831065186,1.1121672807050564,-0.020519497598537884,-0.014697909400343859,-0.0058215881981940245,22.98300650270386,15.527589826573493,12.844522163807591,0.014808684348957159,1.1695046232424589,1.1136424779891967,1.0577803327359345,0.10032330188073892,0.04342077348127329,0.0073534322628194815,0.007326527593731081,0.014369487762451172,3.385543823219983e-05,-0.045805535574512495,0.0
2015-03-16,EURUSD,1.0484488010406494,1.0613998174667358,1.0484488010406494,1.0481630563735962,0,1.1090504348278045,1.134338035583496,1.0849578251476073,1.1074262270508743,-0.022468401903267043,-0.016252007900928497,-0.006216394002338546,19.90974794753734,-0.31625862223653106,6.834994919110337,0.0147630722058006,1.1705982654137543,1.1090504348278045,1.0475026042418547,0.11099194167036411,0.005365356710820066,-0.013615662285804353,-0.013709205487791597,0.012951016426086426,-0.00028574466705322266,-0.05490045947609402,1.0
2015-03-17,EURUSD,1.057283639907837,1.064900279045105,1.055297613143921,1.0572947263717651,0,1.1052451074123382,1.131605899333954,1.0807019637974777,1.1037127825561255,-0.023010818758647744,-0.01760377007247235,-0.005407048686175395,26.58250427992816,9.891270009477385,8.36753373793812,0.014906708940655747,1.1697916601894216,1.1052451074123382,1.0406985546352547,0.11680043158608219,0.12855970630861246,0.008712070075969303,0.008674338979073777,0.009602665901184082,1.1086463928222656e-05,-0.043384386611615186,1.0
2015-03-18,EURUSD,1.0595914125442505,1.064599871635437,1.0580499172210691,1.0598047971725464,0,1.1012117505073546,1.1290512824058532,1.07748701508595,1.100460339194379,-0.022973324108429116,-0.018677680879663705,-0.004295643228765411,28.349618252382342,14.834534233840012,8.13651520702696,0.01435436333541983,1.1665662591398602,1.1012117505073546,1.035857241874849,0.11869562525535202,0.18321272547818107,0.002374050241785275,0.0023712366367233243,0.006549954414367898,0.00021338462829589844,-0.03760126362230614,1.0
2015-03-19,EURUSD,1.0843987464904783,1.091405153274536,1.0621405839920044,1.0849988460540771,0,1.0984614968299866,1.127079257965088,1.0786426813887386,1.0993150434062087,-0.020672362017470025,-0.01907661710722497,-0.001595744910245056,43.142409399032,48.352244502093505,24.359349581803638,0.015605949572027586,1.1615320571912062,1.0984614968299866,1.035390936468767,0.11483435795106671,0.39327310001048216,0.02377234840675002,0.0234941858924157,0.029264569282531516,0.0006000995635988549,-0.012255915036403992,0.0
2015-03-20,EURUSD,1.067270040512085,1.0814902782440186,1.065719723701477,1.066894292831421,0,1.0949725329875946,1.124825005531311,1.0768352369953051,1.096913506326595,-0.020078269331289755,-0.01927694755203793,-0.0008013217792518269,37.198979195456246,25.284493859115894,29.49042419834981,0.01587221659500327,1.1568516554055883,1.0949725329875946,1.0330934105696008,0.11302406325966684,0.27312024590050726,-0.01668624191490975,-0.016827025546640437,0.015770554542541504,-0.0003757476806640625,-0.02564287167967872,1.0
2015-03-23,EURUSD,1.082602620124817,1.094369649887085,1.0769503116607666,1.0826611518859863,0,1.0921981692314149,1.1227368211746216,1.0777315315938716,1.0958577763680313,-0.018126244774159694,-0.019046806996462284,0.0009205622223025893,44.384682024129575,48.626649655455196,40.754462672221536,0.016712432690811543,1.1508161885613806,1.0921981692314149,1.0335801499014492,0.10733953046490724,0.418651146401383,0.014778276686364,0.014670142016394027,0.01741933822631836,5.8531761169433594e-05,-0.008731947749134024,1.0
2015-03-24,EURUSD,1.094798564910889,1.1030004024505615,1.089330554008484,1.094499111175537,0,1.0902581989765168,1.1209637641906738,1.0803111592218202,1.0957571345019206,-0.015445975280100388,-0.018326640653189907,0.0028806653730895186,49.09429625793349,73.74970408326907,49.220282532613396,0.016974802556029935,1.1456270654294665,1.0902581989765168,1.034889332523567,0.10157019044649677,0.5382969028508476,0.010934131393676827,0.010874785980817097,0.013669848442077415,-0.00029945373535178454,0.003889823716071579,0.0
2015-03-25,EURUSD,1.0910598039627075,1.1012972593307495,1.0910003185272217,1.0902034044265747,0,1.0880732417106629,1.1192112612724303,1.0818330430994747,1.095345747088932,-0.013512703989457364,-0.0173638533204434,0.0038511493309860353,47.52167157885409,75.98538705009751,66.1205802629406,0.016492155924524434,1.1394988587181172,1.0880732417106629,1.0366476247032086,0.0945260209259502,0.5207111050860416,-0.003924815200944898,-0.0039325375004806,0.010296940803527832,-0.0008563995361328125,0.0019577383527627154,1.0
2015-03-26,EURUSD,1.0966475009918213,1.104519605636597,1.0912598371505735,1.0960465669631958,0,1.0860573887825011,1.117560350894928,1.0840197390785087,1.0953976596722108,-0.011377920593702129,-0.016166666775095144,0.004788746181393015,49.87377840188638,84.88868006361106,78.20792373232588,0.01633502053974776,1.1324247125484708,1.0860573887825011,1.0396900650165315,0.08538650764661455,0.6077178643209297,0.005359699403703955,0.005345387331017505,0.013259768486023393,-0.0006009340286254883,0.009197652245516049,0.0
2015-03-27,EURUSD,1.0885539054870603,1.089538335800171,1.0805296897888184,1.0886367559432983,0,1.084462422132492,1.116058328151703,1.0847300493653995,1.0948968519885878,-0.010166802623188254,-0.014966693944713767,0.004799891321525513,46.99709597828829,71.67358341341424,77.51588350904093,0.016275985157106647,1.1279405603428938,1.084462422132492,1.0409842839220904,0.0801837616925556,0.5480049742540214,-0.006760489237631284,-0.006783444864340464,0.009008646011352539,8.285045623801501e-05,0.0038492194156417147,0.0
2015-03-30,EURUSD,1.08819842338562,1.0884946584701538,1.0811103582382202,1.0884946584701538,0,1.0830773532390594,1.1146961379051208,1.0853092199969,1.0944226154316667,-0.009113395434766636,-0.013796034242724341,0.004682638807957705,46.94117979035598,71.42015834814453,75.99414060838994,0.015645094662647296,1.123988100065856,1.0830773532390594,1.0421666064122628,0.07554538317036846,0.5662088283798581,-0.00013052790324119545,-0.00013053642274932147,0.007384300231933594,0.00029623508453391345,0.005001771309217546,0.0
2015-03-31,EURUSD,1.0829074382781982,1.0843517780303955,1.071765422821045,1.0830246210098269,0,1.0813333094120026,1.1131606936454772,1.084957743229658,1.0935783195485675,-0.008620576318909556,-0.012760942657961384,0.004140366339051828,44.73470127443478,61.66456896478427,68.25277024211435,0.015723213977800077,1.1188234992732755,1.0813333094120026,1.0438431195507296,0.06934067328723836,0.5225567222263047,-0.005025323200037457,-0.00503799259971149,0.012586355209350586,0.00011718273162864001,0.0015640983063251834,0.0
2015-04-01,EURUSD,1.0741022825241089,1.0800302028656006,1.072129726409912,1.073814034461975,0,1.0791131138801575,1.1115430855751038,1.0832433264961683,1.0921142984310424,-0.008870971934874072,-0.011982948513343923,0.003111976578469851,41.221141195242794,45.23786238508686,59.44086323267189,0.01537552088026811,1.1124334755299325,1.0791131138801575,1.0457927522303825,0.06175508613729158,0.42048286459372514,-0.008504503378015227,-0.008540873017487993,0.007900476455688477,-0.00028824806213378906,-0.004910587546405181,1.0
2015-04-02,EURUSD,1.0769827365875244,1.0896902084350586,1.0752688646316528,1.0769942998886108,0,1.0775525748729706,1.1098522806167603,1.0822819377873132,1.0909942985390104,-0.008712360751697235,-0.011328830961014587,0.0026164702093173526,42.8890898870496,50.90973645494031,52.60405593493715,0.015411552519622769,1.1079295471607262,1.0775525748729706,1.047175602585215,0.056381420259399684,0.49081088498433373,0.002961653810223508,0.002957276753665615,0.014421343803405762,1.1563301086425781e-05,-0.0005180953555102394,1.0
2015-04-03,EURUSD,1.0870983600616455,1.1021955013275146,1.0865904092788696,1.087074637413025,0,1.0767460644245148,1.108900282382965,1.083019276191269,1.0907039532704188,-0.007684677079149882,-0.010600000184641646,0.002915323105491764,47.93250388887305,64.55858989014367,53.56872957672362,0.016115725692074624,1.1050405071553473,1.0767460644245148,1.0484516216936823,0.05255546068971225,0.6825194630402639,0.009359694406420482,0.009316163877554637,0.01560509204864502,-2.372264862060547e-05,0.00959239446491998,1.0
2015-04-06,EURUSD,1.1001462936401367,1.103594422340393,1.0968520641326904,1.100134253501892,0,1.0775228440761566,1.1086520671844482,1.0856523496236725,1.0914024940283056,-0.005750144404633062,-0.009630029028639929,0.003879884624006867,53.644019051024245,90.56298356147477,68.67710330218625,0.01614477524931032,1.1075263876072867,1.0775228440761566,1.0475193005450265,0.05568985139587357,0.8768123155565785,0.012013541333229849,0.011941951539813292,0.006742358207702637,-1.2040138244628906e-05,0.020984621857480876,0.0
